52041,14317,1606,278662,3718,20774,7,81,178289,59,4,4,2,0,138,261,261,9,0,138,148,-123,2450965
46715,9979,60013,23615,5617,46419,8,6,135036,35,2,2,1,0,63,97,101,1,0,63,64,-33,2452575
47252,3835,25758,1355318,78,19285,1,154,232970,55,70,103,19,0,1076,3881,5667,96,0,1076,1173,-2805,2452176
49110,9703,83206,1502808,3210,38765,8,206,171699,92,87,132,84,0,7807,8026,12199,78,0,7807,7885,-218,2452366
62842,7099,7837,1167462,6287,24312,8,189,121738,57,99,143,51,0,2938,5668,8162,205,0,2938,3144,-2730,2451271
33688,5147,88219,642201,5783,7365,8,94,96135,79,82,151,24,0,1916,6548,11982,114,0,1916,2031,-4631,2452017
64871,1717,15919,202371,4023,13722,7,40,196386,9,59,97,30,109,272,533,880,8,109,163,171,-369,2451175
65972,1772,10658,670793,975,44310,4,189,75157,52,51,69,63,0,3313,2688,3602,265,0,3313,3578,625,2451435
36302,5279,16526,561793,1460,17527,7,291,41566,44,62,79,66,0,2924,2741,3481,87,0,2924,3011,182,2451739
65336,2593,29540,299927,6314,3454,1,297,121422,5,11,16,2,8,10,58,80,0,8,2,2,-56,2451312
34355,9812,90991,556689,5940,16038,2,82,115896,52,42,69,62,2647,3229,2226,3628,17,2647,581,598,-1644,2451065
71375,15107,85304,1677717,6483,17296,1,270,218123,51,77,123,48,0,2465,3976,6322,123,0,2465,2588,-1511,2451644
66909,3208,66639,1619486,6733,34380,8,14,5874,44,90,164,161,6954,7096,4000,7241,2,6954,141,144,-3858,2450980
59604,16687,62110,1302628,1193,8558,4,190,96024,58,63,125,99,0,5768,3669,7302,230,0,5768,5999,2099,2451327
45131,8504,38130,1893524,918,40265,1,164,74604,44,83,146,127,0,5596,3676,6433,335,0,5596,5932,1920,2451854
38669,17326,71921,39043,4118,34040,7,114,93348,60,43,44,1,0,79,2617,2669,6,0,79,86,-2537,2450946
33554,10897,12711,1629586,6814,17289,2,297,53790,60,94,178,119,858,7155,5681,10680,440,858,6296,6737,615,2451992
61158,434,5449,1712389,5282,3775,2,158,78139,85,91,147,44,0,3768,7755,12563,113,0,3768,3881,-3986,2451143
42552,4561,70700,417310,5520,3283,4,283,197669,65,26,47,36,0,2364,1691,3111,118,0,2364,2482,673,2451032
29918,9601,58522,526655,4388,6921,8,73,98192,23,54,106,35,678,808,1243,2449,11,678,129,140,-1114,2451272
66843,4100,26583,1021969,5708,1094,8,194,150942,91,91,111,35,0,3240,8370,10127,259,0,3240,3499,-5129,2451741
62907,15798,80481,1257055,4476,42650,2,201,135279,16,98,139,122,0,1962,1570,2230,39,0,1962,2001,392,2452409
48251,12716,35068,1329473,7078,34683,10,191,84655,17,82,130,43,0,731,1402,2216,29,0,731,760,-671,2451849
67785,15667,86688,678303,4671,35886,8,245,197367,58,95,174,132,0,7676,5519,10101,460,0,7676,8137,2157,2451472
37311,6657,44559,380086,4413,39540,1,166,6460,55,95,125,35,0,1939,5248,6927,19,0,1939,1958,-3309,2452127
45387,6465,12524,527236,6748,9813,8,42,120709,67,29,57,14,958,998,1989,3840,1,958,39,41,-1949,2452583
69124,16910,2237,1054,5918,14382,10,261,150521,82,47,66,27,0,2277,3929,5421,45,0,2277,2322,-1652,2451793
36051,10097,50135,975322,1756,46143,1,88,182188,4,9,16,2,0,10,37,66,0,0,10,11,-27,2451864
40927,15950,69455,1455877,252,34674,10,179,88877,36,73,136,41,0,1478,2635,4928,103,0,1478,1582,-1157,2451764
46801,7490,45103,1829929,3555,31181,1,34,14727,33,3,5,1,0,56,120,196,3,0,56,60,-63,2450853
69231,5209,4425,1545637,1249,28461,1,300,78124,73,91,106,3,0,233,6659,7790,9,0,233,242,-6425,2451517
51641,16088,82036,1228028,2820,26812,10,150,135274,73,98,124,3,220,272,7210,9084,3,220,51,55,-7158,2451026
69386,4495,6807,1348230,6453,41476,2,294,236488,4,54,77,7,0,30,216,309,2,0,30,33,-185,2451520
68548,3073,65642,1912346,2697,29848,7,94,120048,15,40,66,49,0,742,608,1003,0,0,742,742,134,2451418
64212,12481,83399,288773,547,9521,7,230,92424,52,59,117,8,0,428,3094,6126,4,0,428,432,-2665,2451213
38445,16057,12341,96484,1427,40017,2,230,194077,16,53,97,12,0,202,856,1558,6,0,202,208,-653,2451395
67633,8323,37117,1252440,2610,39933,2,17,71999,66,11,20,0,0,13,727,1339,0,0,13,13,-714,2452377
63574,13249,43092,1518651,4610,48616,1,288,11757,86,1,3,0,58,61,134,268,0,58,3,3,-131,2451422
30002,369,35262,1305472,2435,40598,4,25,131482,8,63,72,41,0,334,505,576,16,0,334,350,-171,2452227
44000,2078,62592,1850199,2606,39013,4,110,69328,73,62,101,98,0,7216,4564,7440,577,0,7216,7794,2652,2451040
53934,8434,82015,1122419,3623,23627,8,142,171882,8,76,153,92,0,736,614,1228,0,0,736,736,122,2451281
42127,3865,14751,1054242,4133,37624,8,300,34252,14,76,130,121,866,1698,1074,1825,33,866,832,865,-242,2451174
52947,13265,80814,820592,2323,49301,10,6,194458,26,87,154,23,0,601,2264,4008,54,0,601,655,-1663,2451611
48878,3877,21847,448650,5406,21409,1,25,211326,28,82,149,77,0,2172,2308,4177,65,0,2172,2237,-136,2450936
38199,5123,50901,1207985,5869,48200,2,20,200730,98,34,40,17,0,1685,3345,4014,134,0,1685,1820,-1660,2451578
48720,6557,96826,1664737,648,13759,2,76,181404,80,68,78,60,0,4864,5493,6317,291,0,4864,5155,-629,2451906
71722,17625,29727,891354,4534,20561,8,186,39733,21,35,61,58,0,1231,741,1283,12,0,1231,1243,489,2451920
40885,3992,41030,976898,6366,11834,1,108,135417,74,28,50,35,0,2615,2075,3736,156,0,2615,2772,539,2450972
52882,7375,58638,1823574,5663,13752,8,203,175982,14,79,125,122,0,1708,1114,1761,85,0,1708,1794,593,2451892
74952,10819,22070,58365,613,7308,7,183,143520,6,27,51,14,49,87,163,311,2,49,37,39,-125,2451509
67827,8978,64019,481558,5850,32942,4,15,150904,81,17,30,15,0,1257,1425,2465,50,0,1257,1307,-168,2451099
62238,3517,75349,973458,5167,19323,7,257,192899,47,71,131,30,0,1424,3366,6193,71,0,1424,1495,-1942,2451522
42510,9525,28114,938710,2906,37949,4,247,3675,75,50,79,42,0,3213,3766,5950,192,0,3213,3405,-553,2451913
65817,3636,96309,1760608,2954,42900,2,24,228671,43,94,180,93,0,4026,4054,7743,281,0,4026,4308,-27,2452344
68188,6106,37469,912918,3120,9369,10,8,105343,57,18,21,15,0,864,1071,1253,0,0,864,864,-206,2451522
35967,15517,22523,1305418,6266,9961,10,237,139628,67,78,145,14,0,976,5280,9769,0,0,976,976,-4304,2451492
