64091,2451582,8774,35241,1830871,1701,16531,59775,410585,4574,24604,20,1,14,2,287,14003,29,94,129,103,754,3014,2731,3768,150,0,979,3014,3165,3994,4145,283,2451512
46861,2451091,6904,88141,1728085,5629,13173,83047,23413,3358,12902,14,1,1,1,31,53304,44,34,74,22,2299,985,1534,3284,49,0,525,985,1034,1510,1559,-549,2451069
65442,2452306,8297,74455,113989,3123,20657,74455,113989,3123,20657,43,29,5,5,158,39887,16,15,16,11,66,189,251,256,9,49,15,140,150,155,165,-111,2452240
23941,2451144,484,94567,903711,5655,19599,73394,1559116,4631,2975,14,8,15,2,12,11292,99,41,117,18,9777,1862,4142,11639,0,0,4072,1862,1862,5935,5935,-2279,2451138
44314,2452270,5485,35930,326767,5157,29947,7633,817638,764,10754,41,5,5,5,152,18821,35,47,87,85,61,2990,1667,3051,59,0,610,2990,3050,3600,3660,1322,2452161
70362,2451794,2654,97358,1311715,6072,4476,50386,1133561,3147,19104,13,14,6,2,265,12338,11,85,148,72,832,799,943,1631,55,0,554,799,855,1354,1410,-143,2451696
59054,2451363,11248,67142,896195,2848,34654,37393,127622,6966,19219,49,1,7,5,116,33705,48,55,165,26,6673,1271,2675,7944,50,0,2700,1271,1321,3972,4022,-1404,2451269
46224,2451309,10807,81626,369637,2895,13706,62683,33069,7033,12244,37,4,10,4,31,41279,50,64,119,107,598,5378,3213,5976,161,0,1015,5378,5539,6393,6554,2165,2451305
34212,2452518,2857,38103,1037230,3557,10731,9655,1364916,6112,46039,19,30,17,4,171,20209,83,17,42,1,3416,141,1440,3558,4,34,1280,107,112,1388,1392,-1333,2452464
11703,2452190,14405,31645,1786802,3206,30010,29921,1789202,4375,38732,59,11,9,5,38,30958,9,85,154,117,334,1058,765,1393,52,0,195,1058,1111,1253,1306,293,2452075
62026,2452674,17959,73348,1749036,5524,30765,23816,139000,7029,35517,21,25,15,5,72,48004,83,62,67,12,4623,1014,5173,5638,81,0,620,1014,1095,1634,1715,-4159,2452616
33180,2452600,174,30080,452182,331,44033,94269,261034,4033,1735,13,21,15,4,203,17257,73,51,61,45,1176,3347,3769,4523,133,0,1220,3347,3480,4567,4701,-422,2452573
59865,2452662,399,58858,1092115,6972,37029,89772,138949,4800,41257,54,30,16,4,2,24522,72,81,218,107,8028,7713,5896,15742,308,0,471,7713,8021,8184,8493,1817,2452621
44744,2451023,17437,28438,388752,4266,31733,47466,222288,5875,47342,20,2,13,4,275,29789,26,32,54,32,565,847,851,1412,25,0,678,847,873,1525,1551,-3,2450989
55142,2450901,4646,74354,962691,2581,12871,14762,1513733,1788,3325,22,13,12,2,269,18121,18,82,224,114,1980,2060,1491,4040,144,0,1575,2060,2204,3636,3780,569,2450830
46474,2451166,15211,46006,847220,5234,26848,59711,347045,1643,17657,52,14,9,3,154,15144,13,63,166,129,475,1683,823,2158,101,0,215,1683,1784,1899,2000,859,2451108
82519,2451110,7387,85195,633844,1693,5589,16456,68131,2783,38232,40,2,10,1,79,41725,54,23,62,46,879,2501,1285,3381,50,0,676,2501,2551,3177,3227,1216,2450994
73914,2452625,12450,45352,283746,6493,34440,91598,1506022,7175,42322,36,13,13,2,41,14458,63,3,9,8,94,534,211,628,0,496,232,37,37,269,269,-173,2452548
38996,2451486,4106,58875,727621,4367,34313,26360,1858080,4598,18544,32,7,14,1,191,13973,52,98,227,40,9702,2129,5100,11832,0,0,2366,2129,2129,4495,4495,-2970,2451461
54547,2452459,7917,29048,949327,2853,6732,80897,1897809,416,49095,33,7,18,5,249,49647,86,26,34,27,559,2379,2296,2938,91,1070,1263,1308,1400,2572,2663,-987,2452407
15658,2451157,13702,32135,153882,3629,31776,11547,716033,5817,47964,38,10,5,1,257,55371,76,98,244,12,17628,927,7512,18555,83,0,8534,927,1010,9462,9545,-6585,2451096
39156,2451287,8218,77064,1507931,3598,41265,37145,872652,6713,27180,37,8,4,5,16,45364,89,7,22,18,339,1650,670,1990,132,0,616,1650,1783,2267,2399,980,2451213
75981,2452240,12443,45166,1449243,4520,34550,76665,1669860,1181,31611,1,3,10,3,289,38312,17,86,227,52,2983,890,1462,3874,8,0,929,890,899,1820,1829,-571,2452171
48980,2452423,7539,19024,1394847,6223,7646,84532,1019161,1068,20044,48,18,7,2,107,952,33,70,102,24,2568,811,2331,3379,40,0,1554,811,851,2365,2406,-1519,2452355
51511,2451506,13768,70768,1255395,1175,19355,96111,216388,2342,22922,43,10,10,2,251,53510,25,96,104,52,1306,1305,2418,2611,117,0,574,1305,1423,1880,1997,-1112,2451497
65576,2451594,3350,49218,1729087,1403,26119,22093,1575450,3020,6536,2,1,20,4,148,26223,8,26,75,71,36,568,212,604,28,0,126,568,596,695,723,356,2451589
70964,2452156,13133,99786,1307949,4912,14675,99786,1307949,4912,14675,21,11,1,1,134,11096,63,28,28,27,90,1722,1813,1813,0,0,870,1722,1722,2592,2592,-90,2452141
19500,2451207,5474,16235,1084059,3436,48013,1222,159958,944,45521,38,8,13,3,246,35135,6,96,171,155,92,934,580,1026,46,0,369,934,980,1303,1350,354,2451205
39607,2451139,12038,69414,50821,4228,9635,83870,1705755,6656,13263,44,7,12,5,261,17321,28,39,68,24,1220,686,1108,1907,27,0,743,686,713,1429,1457,-422,2451088
14282,2451746,8525,54680,82420,560,4700,6872,151692,3967,21707,50,23,8,4,157,43146,88,63,83,15,5977,1401,5549,7379,48,714,1622,686,734,2309,2357,-4862,2451691
27264,2452168,9909,84942,566578,1461,31897,45698,516056,1252,33288,23,1,20,4,65,34212,70,47,61,44,1213,3119,3332,4332,218,0,736,3119,3337,3855,4073,-213,2452157
63257,2452278,1611,7936,1155263,2590,9964,61180,1367504,5145,18119,53,21,12,1,60,2550,33,40,65,4,2008,151,1349,2159,4,0,345,151,155,496,501,-1198,2452209
