1,AAAAAAAABAAAAAAA,1997-03-13,,,ought,211,6522265,8AM-4PM,Jimmy Allen,7,Unknown,Notes cannot engage pupils. No doubt substan,Randy Valdez,1,Unknown,1,Unknown,32,3rd,Street,Suite 220,Midway,Williamson County,TN,31904,United States,-5,0
2,AAAAAAAACAAAAAAA,1997-03-13,2000-03-12,2451065,able,264,5529610,8AM-4PM,Jimmy Bullock,7,Unknown,"Originally simple assumptions move important<comma> good t",Robert Dyer,1,Unknown,1,Unknown,666,Cedar Spruce,Avenue,Suite 10,Midway,Williamson County,TN,31904,United States,-5,0
3,AAAAAAAACAAAAAAA,2000-03-13,,,able,217,5529610,8AM-4PM,Floyd Christian,7,Unknown,Countries bear for a conditions. Streets must not put high still following inches. Er,Ryan Harvey,1,Unknown,1,Unknown,666,8th,Drive,Suite G,Midway,Williamson County,TN,31904,United States,-5,0
4,AAAAAAAAEAAAAAAA,1997-03-13,1999-03-13,,ese,286,6070190,8AM-8AM,James Lachance,3,Unknown,Hills result public refugees. Russian quest,Thomas Meadows,1,Unknown,1,Unknown,120,6th,Lane,Suite B,Midway,Williamson County,TN,31904,United States,-5,0
5,AAAAAAAAEAAAAAAA,1999-03-14,2001-03-12,,ese,286,6620891,8AM-4PM,James Lachance,2,Unknown,"Hours must protect more problems. Yet short-term levels challenge then political<comma> young ye",Thomas Meadows,1,Unknown,1,Unknown,917,9th 12th,Pkwy,Suite 150,Midway,Williamson County,TN,31904,United States,-5,0
6,AAAAAAAAEAAAAAAA,2001-03-13,,,ese,286,6620891,8AM-12AM,Joaquin Washington,2,Unknown,Pounds rectify for a poli,Thomas Meadows,1,Unknown,1,Unknown,917,Adams,Lane,Suite T,Fairview,Williamson County,TN,35709,United States,-5,0
7,AAAAAAAAHAAAAAAA,1997-03-13,,,ation,239,8597567,8AM-12AM,Michael Burton,5,Unknown,There real bags could provide actu,James Adams,1,Unknown,1,Unknown,405,3rd,Wy,Suite 220,Fairview,Williamson County,TN,35709,United States,-5,0
8,AAAAAAAAIAAAAAAA,1997-03-13,2000-03-12,,eing,200,8503528,8AM-4PM,Brian King,3,Unknown,Never political ways accept about a work,Dee Miller,1,Unknown,1,Unknown,914,Lake 11th,Road,Suite T,Midway,Williamson County,TN,31904,United States,-5,0
9,AAAAAAAAIAAAAAAA,2000-03-13,,,n st,200,8686177,8AM-4PM,Brian King,3,Unknown,"Red<comma> additional aims approve resources; blue<comma> other newspapers sho",Dee Miller,1,Unknown,1,Unknown,515,South Wilson,Dr.,Suite R,Fairview,Williamson County,TN,31904,United States,-5,0
10,AAAAAAAAKAAAAAAA,1997-03-13,1999-03-13,,bar,219,6505323,8AM-12AM,David Trahan,10,Unknown,Representatives sing certain details. Adult terms will appreciate all conflicts. Growin,Christopher Maxwell,1,Unknown,1,Unknown,71,Cedar,Blvd,Suite B,Midway,Williamson County,TN,31904,United States,-5,0
11,AAAAAAAAKAAAAAAA,1999-03-14,2001-03-12,,bar,217,6505323,8AM-12AM,David Trahan,10,Unknown,"Popular<comma> clear systems will limit par",Christopher Maxwell,1,Unknown,1,Unknown,71,Hill,Blvd,Suite A,Midway,Williamson County,TN,31904,United States,-5,0
12,AAAAAAAAKAAAAAAA,2001-03-13,,,able,217,6505323,8AM-4PM,Billy Phillips,10,Unknown,In common personal terms must save at a cells; ways accep,Christopher Maxwell,1,Unknown,1,Unknown,71,Highland Park,Ave,Suite 450,Fairview,Williamson County,TN,35709,United States,-5,0
